AG	Solomon Islands
AN	Nauru Islands
AY	Papua New Guinea
BG	Greenland
BI	Iceland
CF	Saint Pierre and Miquelon
CY	Canada
DA	Algeria
DB	Benin
DF	Burkina Faso
DG	Ghana
DI	Ivory Coast
DN	Nigeria
DR	Niger
DT	Tunisia
DX	Togo
EB	Belgium
ED	Germany - Civil
EE	Estonia
EF	Finland
EG	United Kingdom
EH	Netherlands
EI	Ireland
EK	Denmark
EL	Luxembourg
EN	Norway
EP	Poland
ES	Sweden
ET	Germany - Military
EV	Latvia
EY	Lithuania
FA	South Africa
FB	Botswana
FC	Congo
FD	Swaziland
FE	Republic of Central Africa
FG	Equatorial Guinea
FH	Ascension Islands
FI	Mauritius
FJ	Diego Garcia
FK	Cameroon
FL	Zambia
FM	Madagascar
FN	Angola
FO	Gabon
FP	Sao Tome
FQ	Mozambique
FS	Seychelles
FT	Chad
FV	Zimbabwe
FW	Malawi
FX	Lesotho
FY	Namibia
FZ	Zaire
GA	Mali
GB	Gambia
GC	Canary Islands
GE	Melilla
GF	Sierra Leone
GG	Guinea Bissau
GL	Liberia
GM	Morocco
GO	Senegal
GQ	Mauritania
GU	Guinea
GV	Cape Verde
HA	Ethiopia
HB	Burundi
HC	Somalia
HD	Djibouti
HE	Egypt
HH	Eritrea
HK	Kenya
HL	Libya
HR	Rwanda
HS	Sudan
HT	Tanzania
HU	Uganda
K1	United States - Northwest
K2	United States - Southwest
K3	United States - North
K4	United States - South
K5	United States - Central
K6	United States - Northeast
K7	United States - Southeast
LA	Albania
LB	Bulgaria
LC	Cyprus
LD	Croatia
LE	Spain
LF	France
LG	Greece
LH	Hungary
LI	Italy
LJ	Slovenia
LK	Czech Republic
LL	Israel
LM	Malta
LO	Austria
LP	Portugal
LQ	Bosnia and Herzegovinia
LR	Romania
LS	Switzerland
LT	Turkey
LU	Moldova
LW	Macedonia
LX	Gibralter
LY	Yugoslavia
LZ	Slovakia
MB	Turks and Caicos Islands
MD	Dominican Republic
MG	Guatemala
MH	Honduras
MK	Jamaica
MM	Mexico
MN	Nicaragua
MP	Panama
MR	Costa Rica
MS	El Salvador
MT	Haiti
MU	Cuba
MW	Cayman Islands
MY	Bahamas
MZ	Belize
NC	Cook Islands
NF	Fiji
NG	Kiribati Islands
NI	Niue Islands
NL	Wallis Islands
NS	American Samoa
NT	Tahiti
NV	Vanuatu
NW	Noumea
NZ	New Zealand
OA	Afghanistan
OB	Bahrain
OE	Saudi Arabia
OI	Iran
OJ	Jordan
OK	Kuwait
OL	Lebanon
OM	United Arab Emirates
OO	Oman
OP	Pakistan
OR	Iraq
OS	Syria
OT	Qatar
OY	Yemen
P	Pacific
PA	Alaska
PG	Guam
PH	Hawaii
PJ	Johnston Islands
PK	Marshall Islands
PL	Line Islands
PM	Midway Islands
PT	Micronesia
PW	Wake Islands
RC	Taiwan
RJ	Japan
RK	Korea
RO	Okinawa Islands
RP	Philippines
SA	Argentina
SB	Brazil
SC	Chile
SE	Equador
SF	Falkland Islands
SG	Paraguay
SK	Colombia
SL	Bolivia
SM	Surinam
SO	French Guyana
SP	Peru
SU	Uruguay
SV	Venezuela
SY	Guyana
TA	Antigua and Barbuda
TB	Barbados
TD	Dominica
TF	French Antilles
TG	Grenada
TI	U.S. Virgin Islands
TJ	Puerto Rico
TK	St. Kitts Islands
TL	St. Lucia
TN	Aruba / Netherlands Antilles
TQ	Anguilla
TT	Monserrat Islands
TU	Trinidad and Tobago
TV	U.K Virgin Islands
TX	Bermuda
UA	Kazakhstan and Kyrgyzstan
UB	Azerbiajan
UC	Kyrgyz Republic
UD	Armenia
UE	Russian Federation
UG	Armenia and Georgia
UH	Russian Federation
UI	Russian Federation
UK	Ukraine and Moldovia
UL	Russian Federation
UM	Belarus, Latvia and Lithuania
UN	Russian Federation
UO	Russian Federation
UR	Russian Federation
US	Russian Federation
UT	Uzbekistan, Turkmenistan and Tadjikistan
UU	Russian Federation
UW	Russian Federation
VA	India - West
VC	Sri Lanka
VD	Cambodia
VE	India - East
VG	Bangladesh
VH	Hongkong
VI	India - North
VL	Laos
VM	Macau
VN	Nepal
VO	India - South
VQ	Bhutan
VR	Maldives
VT	Thailand
VV	Vietnam
VY	Myanmar
WA	Indonesia
WB	Brunei
WI	Indonesia
WM	Malaysia
WP	Indonesia
WR	Indonesia - Bali
WS	Singapore
YB	Australia
YM	Australia
ZB	China
ZG	China
ZH	China
ZJ	China
ZK	North Korea
ZL	China
ZM	Mongolia
ZP	China
ZS	China
ZU	China
ZW	China
ZY	China
